City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hithadhoo,MV,-0.6,73.0833,83.84,68,10,9.22,clear sky
80,Itarema,BR,-2.9248,-39.9167,78.44,82,87,9.69,overcast clouds
81,Umm Kaddadah,SD,13.6017,26.6876,77.5,12,33,17.94,scattered clouds
82,Cape Town,ZA,-33.9258,18.4232,66.99,88,75,5.75,broken clouds
83,Mulege,MX,26.8833,-111.9833,63.32,37,0,9.55,clear sky
84,Porto Walter,BR,-8.2686,-72.7439,76.42,92,93,2.19,moderate rain
85,Hasaki,JP,35.7333,140.8333,53.6,50,40,10.36,scattered clouds
86,Sawtell,AU,-30.3833,153.1,82.0,69,9,12.66,clear sky
87,Beringovskiy,RU,63.05,179.3167,22.46,89,34,5.53,scattered clouds
88,Djambala,CG,-2.5447,14.7533,70.57,90,98,3.89,moderate rain
89,Grindavik,IS,63.8424,-22.4338,24.8,74,40,13.8,scattered clouds
90,Predivinsk,RU,57.0669,93.4378,6.37,87,100,11.52,overcast clouds
91,Husavik,IS,66.0449,-17.3389,21.2,79,40,9.22,light snow
92,Cao Bang,VN,22.6667,106.25,67.86,91,62,2.53,broken clouds
93,Codrington,AU,-38.2667,141.9667,57.65,53,42,11.18,scattered clouds
94,Port Elizabeth,ZA,-33.918,25.5701,73.4,53,0,5.75,clear sky
95,Inta,RU,66.0317,60.1659,10.53,92,70,12.1,broken clouds
96,Porangatu,BR,-13.4408,-49.1486,73.6,91,67,1.86,moderate rain
97,Ferrol,ES,43.4832,-8.2369,55.0,93,75,8.05,broken clouds
98,Lebu,CL,-37.6167,-73.65,58.71,79,0,8.79,clear sky
99,Muros,ES,42.7762,-9.0603,46.0,93,3,3.0,clear sky
100,Hobart,AU,-42.8794,147.3294,54.0,50,20,14.97,few clouds
101,Bogorodskoye,RU,56.55,37.8833,28.98,92,97,11.43,light snow
102,Oranjestad,AW,12.524,-70.027,80.6,74,40,16.11,scattered clouds
103,Port Macquarie,AU,-31.4333,152.9167,71.6,94,40,5.75,scattered clouds
104,Sinnamary,GF,5.3833,-52.95,77.23,87,85,9.98,overcast clouds
105,Bonfim,BR,3.0833,-59.95,81.7,65,21,7.85,few clouds
106,Belaya Gora,RU,68.5333,146.4167,-16.8,95,1,3.47,clear sky
107,Kodiak,US,57.79,-152.4072,33.8,29,1,18.41,clear sky
108,Saskylakh,RU,71.9167,114.0833,-7.44,98,54,6.42,broken clouds
109,Kumbo,CM,6.2,10.6667,61.61,94,100,2.46,moderate rain
110,Libreville,GA,0.3925,9.4537,82.4,83,20,5.75,few clouds
111,Torbay,CA,47.6666,-52.7314,37.0,64,75,8.05,broken clouds
112,Uva,RU,56.9908,52.1852,7.0,81,98,9.35,overcast clouds
