City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Loiza,PR,78.8,scattered clouds,18.4313,-65.8802,Malibu Beachfront
420,Ternate,ID,83.68,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
422,Chimbote,PE,72.93,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
424,Sinnamary,GF,76.98,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
425,Areia Branca,BR,78.17,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
426,Upata,VE,73.99,overcast clouds,8.0086,-62.3989,Posada Villa Nela
427,Jeremie,HT,76.46,few clouds,18.65,-74.1167,Auberge’Inn
428,Axim,GH,79.39,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
430,Ixtapa,MX,71.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
431,Canutama,BR,73.72,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
433,Sinjai,ID,87.55,heavy intensity rain,-5.1241,120.25299999999999,Wisma Sandika
434,Toamasina,MG,75.2,broken clouds,-18.1667,49.3833,Hotel H1
438,Cangzhou,CN,61.11,overcast clouds,38.3167,116.8667,Jinji Express Hotel
443,Broken Hill,AU,64.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
444,Tarija,BO,61.36,overcast clouds,-21.5355,-64.7296,Hostal Granny
445,Yulara,AU,69.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
449,Necochea,AR,63.0,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
452,Moyo,UG,69.93,scattered clouds,3.6609,31.7247,Amelia Guest House
457,Antalaha,MG,75.97,clear sky,-14.9003,50.2788,Hotel Vitasoa
458,Horta,PT,60.8,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
459,Elliot,ZA,64.15,clear sky,-31.3333,27.85,Rose Garden Dinner Bed and Breakfast
461,Santo Antonio Do Ica,BR,72.93,broken clouds,-3.1022,-67.9397,Hotel Fogaça
464,Hambantota,LK,84.2,few clouds,6.1241,81.1185,Bungalow 63
465,Bata,GQ,73.4,light rain,1.8639,9.7658,Hotel Carmen
466,Faridabad,IN,80.01,haze,28.4333,77.3167,OYO 70153 Hotel Moon Tara
469,Ewa Beach,US,78.8,light rain,21.3156,-158.0072,Uncle Junior Robert
472,Belize,BZ,72.0,clear sky,17.25,-88.75,Villa San Juan
475,Lucapa,AO,63.41,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
479,Mathathane,BW,67.66,clear sky,-22.2687,28.7495,Selepswe Resort
480,San Lorenzo,PY,78.8,few clouds,-25.3333,-57.5333,Hotel del Sur
482,Omboue,GA,78.22,overcast clouds,-1.5746,9.2618,Hotel Olako
483,Miandrivazo,MG,76.1,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
484,Isoka,ZM,61.21,overcast clouds,-10.1606,32.6335,Location Compound
486,Puerto Escondido,MX,78.28,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
492,Pawai,IN,68.0,haze,24.2667,80.1667,parth Palace Pawai
493,Menongue,AO,60.93,broken clouds,-14.6585,17.691,Ritz Lauca
497,Manacapuru,BR,75.2,light rain,-3.2997,-60.6206,Novo Hotel
498,Alyangula,AU,87.8,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
501,Tiarei,PF,87.8,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
504,Guaruja,BR,80.01,few clouds,-23.9931,-46.2564,Charme Hotel Guarujá
505,Luganville,VU,80.46,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
506,Shimoda,JP,62.6,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
509,Ambovombe,MG,74.7,clear sky,-25.1667,46.0833,RELAHARA
513,Puerto Carreno,CO,77.74,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
514,Loum,CM,73.09,overcast clouds,4.7182,9.7351,Hotel Guy Wambo
515,Irituia,BR,71.96,overcast clouds,-1.7711,-47.4381,Hotel Irituia
517,Inhambane,MZ,74.14,few clouds,-23.865,35.3833,Oceano
518,Kushima,JP,62.6,few clouds,31.4583,131.2333,Hanaoka
519,Lagoa,PT,60.67,overcast clouds,39.05,-27.9833,Casa Das Faias
520,San Policarpo,PH,80.71,scattered clouds,12.1791,125.5072,JM Lodge
521,Paracuru,BR,82.0,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
523,Clearwater,US,66.99,scattered clouds,27.9659,-82.8001,Shephard's Beach Resort
525,Skeldon,GY,74.48,broken clouds,5.8833,-57.1333,Rits Hotel
529,Port Augusta,AU,71.01,clear sky,-32.5,137.7667,Majestic Oasis Apartments
534,Padang,ID,84.2,few clouds,-0.9492,100.3543,Mercure Padang
535,Kaseda,JP,60.8,few clouds,31.4167,130.3167,Sun Stay Kaseda
539,Morondava,MG,76.03,clear sky,-20.2833,44.2833,La Case Bambou
540,Grand Baie,MU,77.0,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
551,Malanje,AO,62.49,broken clouds,-9.5402,16.340999999999998,Malanje Hotel
553,Mumford,GH,81.09,overcast clouds,5.2618,-0.759,Spanish Villa
557,Wairoa,NZ,66.99,few clouds,-39.0333,177.3667,Riverside Motor Camp
561,Kiunga,PG,83.8,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
563,Soe,ID,77.88,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
567,Ishigaki,JP,71.6,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
569,Surt,LY,60.48,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
570,Amalapuram,IN,80.6,haze,16.5833,82.0167,swayamprabha service apartments
571,Jacareacanga,BR,72.05,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
572,Vao,NC,76.82,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
573,Salvador,SV,78.8,few clouds,13.8333,-88.9167,Chico's Ranch
576,Acari,PE,72.88,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
577,Sumbe,AO,78.51,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
578,Bilma,NE,73.42,clear sky,18.6853,12.9164,Expeditions Ténére voyages
581,Buenavista,PH,87.24,overcast clouds,8.9769,125.4089,Room For Rent
